scenario_label,currency,horizon,margin_per_conversion,cost_per_assigned_target,eligible_population,economic_assumption,policy,requested_budget,actual_budget,is_target_nobody,gain_vs_treat_none,assigned_targets,estimated_incremental_conversions,incremental_conversion_margin,targeting_cost,incremental_net_value_vs_target_nobody,incremental_net_value_per_1000_eligible,break_even_cost_to_margin_ratio,break_even_cost_per_assigned_target,decision_frozen,selected_on,validation_gain_vs_treat_none,validation_incremental_net_value,champion_policy,selection_rule,scenario_role,decision_scope,final_gain_ci_low,final_gain_ci_high,final_incremental_net_value_ci_low,final_incremental_net_value_ci_high,final_break_even_cost_per_assigned_target_ci_low,final_break_even_cost_per_assigned_target_ci_high,final_net_value_conclusion_vs_target_nobody,final_evaluation_policy_frozen
reference_margin_100_cost_0_50,hypothetical_currency_units,per_100000_eligible_records,100.0,0.5,100000,constant_margin_and_cost_per_assigned_target,response,0.02,0.02,False,0.0005825433452739203,2000.0,58.254334527392025,5825.433452739203,1000.0,4825.433452739203,48.25433452739203,0.029127167263696012,2.912716726369601,True,validation,0.000862702152586193,7627.02152586193,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,primary,global_response_vs_t,0.00025404686183229315,0.0008933512514943137,1540.4686183229317,7933.512514943138,1.2702343091614658,4.466756257471569,positive,True
reference_margin_100_cost_0_50,hypothetical_currency_units,per_100000_eligible_records,100.0,0.5,100000,constant_margin_and_cost_per_assigned_target,response,0.02,0.02,False,0.0005825433452739203,2000.0,58.254334527392025,5825.433452739203,1000.0,4825.433452739203,48.25433452739203,0.029127167263696012,2.912716726369601,True,validation,0.000862702152586193,7627.02152586193,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,primary,policy_response,0.00025404686183229315,0.0008933512514943137,1540.4686183229317,7933.512514943138,1.2702343091614658,4.466756257471569,positive,True
reference_margin_100_cost_0_50,hypothetical_currency_units,per_100000_eligible_records,100.0,0.5,100000,constant_margin_and_cost_per_assigned_target,t_learner,0.01,0.01,False,0.00038148790698015836,1000.0,38.14879069801584,3814.8790698015837,500.0,3314.8790698015837,33.14879069801584,0.038148790698015834,3.8148790698015835,True,validation,0.0005850333870304976,5350.333870304976,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,primary,policy_t_learner,0.00010983751632043183,0.0006231501074869767,598.3751632043184,5731.501074869767,1.0983751632043184,6.231501074869767,positive,True
zero_targeting_cost,hypothetical_currency_units,per_100000_eligible_records,100.0,0.0,100000,constant_margin_and_cost_per_assigned_target,response,0.44,0.44,False,0.0009934093120796698,44000.0,99.34093120796699,9934.093120796699,0.0,9934.093120796699,99.34093120796699,0.002257748436544704,0.2257748436544704,True,validation,0.0011686024432299043,11686.024432299042,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,global_response_vs_t,0.0006143136488718265,0.0013581776673514444,6143.136488718264,13581.776673514445,0.13961673837996055,0.30867674257987376,positive,True
zero_targeting_cost,hypothetical_currency_units,per_100000_eligible_records,100.0,0.0,100000,constant_margin_and_cost_per_assigned_target,response,0.44,0.44,False,0.0009934093120796698,44000.0,99.34093120796699,9934.093120796699,0.0,9934.093120796699,99.34093120796699,0.002257748436544704,0.2257748436544704,True,validation,0.0011686024432299043,11686.024432299042,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,policy_response,0.0006143136488718265,0.0013581776673514444,6143.136488718264,13581.776673514445,0.13961673837996055,0.30867674257987376,positive,True
zero_targeting_cost,hypothetical_currency_units,per_100000_eligible_records,100.0,0.0,100000,constant_margin_and_cost_per_assigned_target,t_learner,1.0,1.0,False,0.0010365520298437395,100000.0,103.65520298437396,10365.520298437395,0.0,10365.520298437395,103.65520298437394,0.0010365520298437395,0.10365520298437395,True,validation,0.0011489020363519742,11489.020363519743,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,policy_t_learner,0.0006539723709692407,0.0014021334860330377,6539.723709692407,14021.334860330375,0.06539723709692408,0.14021334860330376,positive,True
low_targeting_cost_0_10,hypothetical_currency_units,per_100000_eligible_records,100.0,0.1,100000,constant_margin_and_cost_per_assigned_target,response,0.11,0.11,False,0.000912992626430824,11000.0,91.2992626430824,9129.92626430824,1100.0,8029.92626430824,80.2992626430824,0.008299932967552945,0.8299932967552945,True,validation,0.0010364961704168402,9264.961704168403,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,global_response_vs_t,0.0005434272866880703,0.0012673081266985895,4334.272866880703,11573.081266985895,0.49402480608006394,1.1520982969987177,positive,True
low_targeting_cost_0_10,hypothetical_currency_units,per_100000_eligible_records,100.0,0.1,100000,constant_margin_and_cost_per_assigned_target,response,0.11,0.11,False,0.000912992626430824,11000.0,91.2992626430824,9129.92626430824,1100.0,8029.92626430824,80.2992626430824,0.008299932967552945,0.8299932967552945,True,validation,0.0010364961704168402,9264.961704168403,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,policy_response,0.0005434272866880703,0.0012673081266985895,4334.272866880703,11573.081266985895,0.49402480608006394,1.1520982969987177,positive,True
low_targeting_cost_0_10,hypothetical_currency_units,per_100000_eligible_records,100.0,0.1,100000,constant_margin_and_cost_per_assigned_target,t_learner,0.12,0.12,False,0.0008678433367443287,12000.0,86.78433367443287,8678.433367443287,1200.0,7478.433367443287,74.78433367443286,0.007232027806202739,0.723202780620274,True,validation,0.0008584425308858383,7384.425308858383,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,policy_t_learner,0.000538120824643445,0.0011963977298979902,4181.208246434449,10763.977298979902,0.4484340205362042,0.9969981082483252,positive,True
high_targeting_cost_1_00,hypothetical_currency_units,per_100000_eligible_records,100.0,1.0,100000,constant_margin_and_cost_per_assigned_target,response,0.02,0.02,False,0.0005825433452739203,2000.0,58.254334527392025,5825.433452739203,2000.0,3825.433452739203,38.25433452739203,0.029127167263696012,2.912716726369601,True,validation,0.000862702152586193,6627.02152586193,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,global_response_vs_t,0.00025404686183229315,0.0008933512514943137,540.4686183229315,6933.512514943137,1.2702343091614658,4.466756257471569,positive,True
