policy,targeting_fraction,actual_targeting_fraction,targeted_count,cumulative_incremental_rate,cumulative_incremental_per_1000_eligible
response,0.0,0.0,0,0.0,0.0
response,0.01,0.01,4000,0.00042467179725913306,0.42467179725913307
response,0.02,0.02,8000,0.0005825433452739203,0.5825433452739203
response,0.03,0.03,12000,0.0005874705679643613,0.5874705679643613
response,0.04,0.04,16000,0.0006757145408142214,0.6757145408142214
response,0.05,0.05,20000,0.0007463042294254565,0.7463042294254565
response,0.06,0.06,24000,0.0007757234617659529,0.775723461765953
response,0.07,0.07,28000,0.0008031772946989271,0.8031772946989271
response,0.08,0.08,32000,0.0008316138273356625,0.8316138273356625
response,0.09,0.09,36000,0.0008590676602686367,0.8590676602686367
response,0.1,0.1,40000,0.0009002449786251905,0.9002449786251905
response,0.11,0.11,44000,0.000912992626430824,0.912992626430824
response,0.12,0.12,48000,0.0009286815112619257,0.9286815112619257
response,0.13,0.13,52000,0.0009404464593637982,0.9404464593637982
response,0.14,0.14,56000,0.0009139821882204002,0.9139821882204002
response,0.15,0.15,60000,0.0009296710730515019,0.9296710730515019
response,0.16,0.16,64000,0.0009110478132807472,0.9110478132807472
response,0.17,0.17,68000,0.0009169302873316834,0.9169302873316835
response,0.18,0.18,72000,0.0008836008424335882,0.8836008424335882
response,0.19,0.19,76000,0.0008894833164845244,0.8894833164845244
response,0.2,0.2,80000,0.000904189501611865,0.9041895016118651
response,0.21,0.21,84000,0.0009130132126882694,0.9130132126882694
response,0.22,0.22,88000,0.00092771939781561,0.92771939781561
response,0.23,0.23,92000,0.0009394843459174826,0.9394843459174825
response,0.24,0.24,96000,0.000948308056993887,0.948308056993887
response,0.25,0.25,100000,0.000951249294019355,0.951249294019355
response,0.26,0.26,104000,0.0009571317680702912,0.9571317680702912
response,0.27,0.27,108000,0.0009630142421212276,0.9630142421212275
response,0.28,0.28,112000,0.0009659554791466956,0.9659554791466957
response,0.29,0.2899975,115999,0.0009777204272485682,0.9777204272485682
response,0.3,0.3,120000,0.0009777204272485682,0.9777204272485682
response,0.31,0.31,124000,0.0009777204272485682,0.9777204272485682
response,0.32,0.32,128000,0.0009777204272485682,0.9777204272485682
response,0.33,0.33,132000,0.0009806616642740362,0.9806616642740362
response,0.34,0.34,136000,0.0009894853753504406,0.9894853753504407
response,0.35000000000000003,0.35,140000,0.000992426612375909,0.9924266123759089
response,0.36,0.36,144000,0.001001250323452313,1.0012503234523131
response,0.37,0.37,148000,0.0009845856010032654,0.9845856010032654
response,0.38,0.38,152000,0.0009845856010032654,0.9845856010032654
response,0.39,0.39,156000,0.0009845856010032654,0.9845856010032654
response,0.4,0.4,160000,0.0009904680750542018,0.9904680750542018
response,0.41000000000000003,0.41,164000,0.0009904680750542018,0.9904680750542018
response,0.42,0.42,168000,0.0009934093120796698,0.9934093120796699
response,0.43,0.43,172000,0.0009934093120796698,0.9934093120796699
response,0.44,0.44,176000,0.0009934093120796698,0.9934093120796699
response,0.45,0.45,180000,0.0009992917861306062,0.9992917861306062
response,0.46,0.46,184000,0.0010110567342324786,1.0110567342324785
