treatment_score_decile,rows,score_min,score_mean,score_max,treated,treatment_share,treatment_share_ci_low,treatment_share_ci_high,overall_test_treatment_share,share_minus_overall
1,40000,0.8647941798428731,0.8698913606597755,0.911205761507404,34147,0.853675,0.8501774699493865,0.8571046051764581,0.8499825,0.0036924999999999875
2,40000,0.8628786099951513,0.8636979064527986,0.8647938871326195,33969,0.849225,0.8456848089442829,0.8526981208240726,0.8499825,-0.0007574999999999665
3,40000,0.861299358195555,0.8620159131907054,0.8628785253667042,33928,0.8482,0.8446501339600924,0.8516829926641222,0.8499825,-0.0017825000000000202
4,40000,0.8598281796451611,0.8606150642017089,0.8612993297134078,34001,0.850025,0.8464923991517932,0.8534903769729649,0.8499825,4.250000000005638e-05
5,40000,0.8579137403748327,0.859053830901061,0.8598281078074337,33965,0.849125,0.8455838625785342,0.8525990863952709,0.8499825,-0.0008574999999999555
6,40000,0.8550369075639512,0.8566042829405477,0.8579135514672468,33983,0.849575,0.8460381254370474,0.8530447371122342,0.8499825,-0.0004075000000000051
7,40000,0.8507077472552611,0.8528795290504392,0.8550368632364025,34022,0.85055,0.8470223989270917,0.8540102763690556,0.8499825,0.0005675000000000541
8,40000,0.8471307142721362,0.8488870616911111,0.8507076564148442,33932,0.8483,0.8447510754016526,0.8517820320171124,0.8499825,-0.0016824999999999202
9,40000,0.8434060463218775,0.8454187640597051,0.8471306833968639,33927,0.848175,0.8446248986825519,0.8516582327430252,0.8499825,-0.001807499999999962
10,40000,0.624951936111385,0.8364641551647992,0.843405951856393,34119,0.852975,0.8494706874568374,0.8564115221071551,0.8499825,0.0029925000000000646
