scenario_label,currency,horizon,margin_per_conversion,cost_per_assigned_target,eligible_population,economic_assumption,policy,requested_budget,actual_budget,is_target_nobody,gain_vs_treat_none,assigned_targets,estimated_incremental_conversions,incremental_conversion_margin,targeting_cost,incremental_net_value_vs_target_nobody,incremental_net_value_per_1000_eligible,break_even_cost_to_margin_ratio,break_even_cost_per_assigned_target,decision_frozen,selected_on,validation_gain_vs_treat_none,validation_incremental_net_value,champion_policy,selection_rule,scenario_role,decision_scope,final_gain_ci_low,final_gain_ci_high,final_incremental_net_value_ci_low,final_incremental_net_value_ci_high,final_break_even_cost_per_assigned_target_ci_low,final_break_even_cost_per_assigned_target_ci_high,final_net_value_conclusion_vs_target_nobody,final_evaluation_policy_frozen
reference_margin_100_cost_0_50,hypothetical_currency_units,per_100000_eligible_records,100.0,0.5,100000,constant_margin_and_cost_per_assigned_target,response,0.02,0.02,False,0.0006109975252921048,2000.0,61.09975252921048,6109.975252921047,1000.0,5109.975252921047,51.09975252921048,0.03054987626460524,3.054987626460524,True,validation,0.000862702152586193,7627.02152586193,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,primary,global_response_vs_t,0.00028156095968420665,0.0009171561535573462,1815.6095968420668,8171.561535573463,1.4078047984210333,4.585780767786731,positive,True
reference_margin_100_cost_0_50,hypothetical_currency_units,per_100000_eligible_records,100.0,0.5,100000,constant_margin_and_cost_per_assigned_target,response,0.02,0.02,False,0.0006109975252921048,2000.0,61.09975252921048,6109.975252921047,1000.0,5109.975252921047,51.09975252921048,0.03054987626460524,3.054987626460524,True,validation,0.000862702152586193,7627.02152586193,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,primary,policy_response,0.00028156095968420665,0.0009171561535573462,1815.6095968420668,8171.561535573463,1.4078047984210333,4.585780767786731,positive,True
reference_margin_100_cost_0_50,hypothetical_currency_units,per_100000_eligible_records,100.0,0.5,100000,constant_margin_and_cost_per_assigned_target,t_learner,0.01,0.01,False,0.00026124529903314895,1000.0,26.124529903314894,2612.452990331489,500.0,2112.452990331489,21.124529903314894,0.026124529903314896,2.6124529903314895,True,validation,0.0005850333870304976,5350.333870304976,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,primary,policy_t_learner,-1.2352548172589108e-05,0.000523491783619746,-623.525481725891,4734.91783619746,-0.12352548172589108,5.23491783619746,inconclusive,True
zero_targeting_cost,hypothetical_currency_units,per_100000_eligible_records,100.0,0.0,100000,constant_margin_and_cost_per_assigned_target,response,0.44,0.44,False,0.0010493066749719113,44000.0,104.93066749719114,10493.066749719113,0.0,10493.066749719113,104.93066749719112,0.0023847878976634347,0.23847878976634346,True,validation,0.0011686024432299043,11686.024432299042,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,global_response_vs_t,0.0006534439829008737,0.0014285288579097715,6534.4398290087365,14285.288579097716,0.14850999611383492,0.3246656495249481,positive,True
zero_targeting_cost,hypothetical_currency_units,per_100000_eligible_records,100.0,0.0,100000,constant_margin_and_cost_per_assigned_target,response,0.44,0.44,False,0.0010493066749719113,44000.0,104.93066749719114,10493.066749719113,0.0,10493.066749719113,104.93066749719112,0.0023847878976634347,0.23847878976634346,True,validation,0.0011686024432299043,11686.024432299042,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,policy_response,0.0006534439829008737,0.0014285288579097715,6534.4398290087365,14285.288579097716,0.14850999611383492,0.3246656495249481,positive,True
zero_targeting_cost,hypothetical_currency_units,per_100000_eligible_records,100.0,0.0,100000,constant_margin_and_cost_per_assigned_target,t_learner,1.0,1.0,False,0.0010856145385861196,100000.0,108.56145385861197,10856.145385861197,0.0,10856.145385861197,108.56145385861196,0.0010856145385861196,0.10856145385861196,True,validation,0.0011489020363519742,11489.020363519743,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,policy_t_learner,0.0006790532335617392,0.0014638312997599992,6790.532335617391,14638.312997599993,0.06790532335617391,0.14638312997599992,positive,True
low_targeting_cost_0_10,hypothetical_currency_units,per_100000_eligible_records,100.0,0.1,100000,constant_margin_and_cost_per_assigned_target,response,0.11,0.11,False,0.0009568021577626797,11000.0,95.68021577626797,9568.021577626798,1100.0,8468.021577626798,84.68021577626799,0.008698201434206179,0.8698201434206179,True,validation,0.0010364961704168402,9264.961704168403,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,global_response_vs_t,0.000587255016085348,0.0013170858124046266,4772.55016085348,12070.858124046268,0.5338681964412254,1.1973507385496607,positive,True
low_targeting_cost_0_10,hypothetical_currency_units,per_100000_eligible_records,100.0,0.1,100000,constant_margin_and_cost_per_assigned_target,response,0.11,0.11,False,0.0009568021577626797,11000.0,95.68021577626797,9568.021577626798,1100.0,8468.021577626798,84.68021577626799,0.008698201434206179,0.8698201434206179,True,validation,0.0010364961704168402,9264.961704168403,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,policy_response,0.000587255016085348,0.0013170858124046266,4772.55016085348,12070.858124046268,0.5338681964412254,1.1973507385496607,positive,True
low_targeting_cost_0_10,hypothetical_currency_units,per_100000_eligible_records,100.0,0.1,100000,constant_margin_and_cost_per_assigned_target,t_learner,0.12,0.12,False,0.0007436820893845068,12000.0,74.36820893845068,7436.820893845068,1200.0,6236.820893845068,62.368208938450685,0.006197350744870891,0.6197350744870891,True,validation,0.0008584425308858383,7384.425308858383,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,policy_t_learner,0.00038301496824851385,0.0010746039679109657,2630.149682485139,9546.039679109657,0.31917914020709487,0.8955033065924715,positive,True
high_targeting_cost_1_00,hypothetical_currency_units,per_100000_eligible_records,100.0,1.0,100000,constant_margin_and_cost_per_assigned_target,response,0.02,0.02,False,0.0006109975252921048,2000.0,61.09975252921048,6109.975252921047,2000.0,4109.975252921047,41.099752529210484,0.03054987626460524,3.054987626460524,True,validation,0.000862702152586193,6627.02152586193,response,max_validation_net_value_then_lower_actual_budget_then_champion_preference_then_policy_name,sensitivity,global_response_vs_t,0.00028156095968420665,0.0009171561535573462,815.6095968420665,7171.561535573462,1.4078047984210333,4.585780767786731,positive,True
