candidate_policy,reference_policy,candidate_budget,reference_budget,delta_policy_value,delta_policy_value_ci_low,delta_policy_value_ci_high,policy_value_bootstrap_fraction_positive,policy_value_conclusion,delta_incremental_per_1000_targeted,delta_incremental_per_1000_ci_low,delta_incremental_per_1000_ci_high,incremental_bootstrap_fraction_positive,incremental_conclusion,delta_hajek_policy_value,delta_hajek_policy_value_ci_low,delta_hajek_policy_value_ci_high,hajek_policy_value_conclusion,delta_hajek_incremental_per_1000_targeted,delta_hajek_incremental_per_1000_ci_low,delta_hajek_incremental_per_1000_ci_high,hajek_incremental_conclusion,valid_policy_value_bootstrap_reps,valid_incremental_bootstrap_reps,valid_hajek_policy_value_bootstrap_reps,valid_hajek_incremental_bootstrap_reps
s_learner,response,0.01,0.01,-3.831936576811565e-05,-0.00016649327368181368,9.28600547974636e-05,0.267,inconclusive,-3.8319365768115645,-16.61537247114177,9.047604838503034,0.258,inconclusive,-3.79810775989922e-05,-0.0001637552484347824,9.370785028355216e-05,inconclusive,-1.2439683591234214,-16.375619688770623,14.795122944451606,inconclusive,1000,1000,1000,1000
s_learner,response,0.02,0.02,-2.2755222172825447e-05,-0.00016276957030976372,0.0001303554886537862,0.376,inconclusive,-1.1377611086412784,-8.162183147806022,6.625291816318079,0.377,inconclusive,-2.3056716178122046e-05,-0.00016319532356663766,0.00012776459262561017,inconclusive,-0.8248796966282015,-9.400305963022216,7.686199271330771,inconclusive,1000,1000,1000,1000
s_learner,response,0.1,0.1,-0.0002289858540511702,-0.0004067926443904187,-3.59312761061777e-05,0.008,worse,-2.2898585405117027,-4.086741338384222,-0.37220895646954816,0.008,worse,-0.0001996950465209587,-0.0003786712782857549,-9.806549503558367e-06,worse,-0.21915364919858682,-2.2649566626815347,1.9112944816899617,inconclusive,1000,1000,1000,1000
s_learner,response,0.11,0.11,-0.000211410208301972,-0.0003842708258760929,-2.617062221623272e-05,0.016,worse,-1.9219109845633824,-3.478922054368743,-0.19393858921364973,0.016,worse,-0.0001792419797901814,-0.00035459462333077346,3.432758692466523e-06,inconclusive,-0.008006009315386642,-1.7866802045215568,1.8880302063819654,inconclusive,1000,1000,1000,1000
s_learner,response,0.12,0.12,-0.0002359507010704278,-0.0004051053680020561,-4.236650224293396e-05,0.008,worse,-1.9662558422535668,-3.370596757742258,-0.38527428303132955,0.008,worse,-0.00020294316019375206,-0.00037247927297822346,-1.318984770008008e-05,worse,-0.3413032504698057,-1.8561111947790734,1.321980315578424,inconclusive,1000,1000,1000,1000
s_learner,response,0.2,0.2,-0.00024097945645520317,-0.00042605961187404314,-3.778872365710468e-05,0.012,worse,-1.2048972822760176,-2.1341709542068914,-0.18879654686130343,0.012,worse,-0.00020980468791496247,-0.0003948868804297157,-1.5357911245024925e-05,worse,-0.6332588892529105,-1.6276058485168954,0.38939917486798337,inconclusive,1000,1000,1000,1000
s_learner,response,0.4,0.4,-0.00027829307114636504,-0.00047590155207474365,-6.835208914140861e-05,0.006,worse,-0.695732677865913,-1.1890121595823206,-0.17463389879150068,0.005,worse,-0.0002467669208729294,-0.0004463462882231639,-3.806467118111694e-05,worse,-0.5568262046688766,-1.070967021907022,-0.023874732349249236,worse,1000,1000,1000,1000
s_learner,response,0.44,0.44,-0.00028417675656924055,-0.0004884791937837681,-7.510952631600399e-05,0.006,worse,-0.6458562649300916,-1.1064638141008383,-0.174232659534977,0.006,worse,-0.00024824515336820726,-0.00045072141012249473,-4.162203589483731e-05,worse,-0.5169121494480327,-0.993170808234964,-0.040456224587468705,worse,1000,1000,1000,1000
s_learner,response,0.6,0.6,-0.000293932625261081,-0.0005005169416326447,-9.062469442850654e-05,0.006,worse,-0.48988770876846766,-0.8370542927643558,-0.1524733435312832,0.006,worse,-0.0002586593421000237,-0.000465027957751337,-5.1504136745610786e-05,worse,-0.4258708677117464,-0.76857298593192,-0.07769290584582449,worse,1000,1000,1000,1000
s_learner,response,0.8,0.8,-0.0002145028720522647,-0.0004048496951239305,-1.7516618138514993e-05,0.017,worse,-0.26812859006533096,-0.504834094180943,-0.023609844735981857,0.017,worse,-0.00018558893992432325,-0.00037501785649439874,9.440150969129695e-06,inconclusive,-0.23925154759459977,-0.472826182784524,0.002748111949416316,inconclusive,1000,1000,1000,1000
s_learner,response,1.0,1.0,2.6020852139652106e-18,0.0,0.0,0.0,inconclusive,2.4424906541753444e-15,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,1000,1000,1000,1000
s_learner,expected_random,0.01,0.01,0.00039383533750848203,9.747184890065083e-05,0.0006715185374994126,0.996,beats,39.383533750848166,9.8645125987048,67.0763479441314,0.996,beats,0.0003905570805574402,9.586695092024885e-05,0.000666221875351452,beats,21.925298911129108,-9.784755475743776,49.58512393132462,inconclusive,1000,1000,1000,1000
s_learner,expected_random,0.02,0.02,0.000566530012347557,0.0002550011627229114,0.0008589378276324586,1.0,beats,28.32650061737785,12.878577127138975,43.08322931880343,1.0,beats,0.0005603387026867578,0.00025070008254984675,0.0008519107080836245,beats,19.830164880647963,3.714203833199559,35.24464038428831,beats,1000,1000,1000,1000
s_learner,expected_random,0.1,0.1,0.0006368304956020964,0.00034486420793885733,0.0009277120398023239,1.0,beats,6.368304956020966,3.442664826160039,9.264060950587815,1.0,beats,0.0006320734248843607,0.00033890207948512207,0.0009216139933846857,beats,6.105912753120513,3.0478650245107435,8.93615109276993,beats,1000,1000,1000,1000
s_learner,expected_random,0.11,0.11,0.0006259743502162354,0.0003381872070000009,0.00091382331034015,1.0,beats,5.690675911056686,3.062733191227867,8.288091955537332,1.0,beats,0.0006227830900331051,0.00033277747862822356,0.0009095413087574123,beats,5.54592031626789,2.80930484540093,8.083457285542908,beats,1000,1000,1000,1000
s_learner,expected_random,0.12,0.12,0.0006151182048303745,0.00032949320402523045,0.0009000192402111613,1.0,beats,5.125985040253119,2.7411955393276632,7.486467326244092,1.0,beats,0.0006132262703226377,0.00032667453292947057,0.0008953036641606474,beats,5.054131623982057,2.5685076261006716,7.330157328640958,beats,1000,1000,1000,1000
s_learner,expected_random,0.2,0.2,0.0005469258490890662,0.00027970766508837573,0.0008025145296031381,1.0,beats,2.7346292454453307,1.4013702506748842,4.026333195359249,1.0,beats,0.0005427995767186941,0.00027446873980419007,0.0008011524305858659,beats,2.6777563910694426,1.2680145498251616,3.9859040679369726,beats,1000,1000,1000,1000
s_learner,expected_random,0.4,0.4,0.0003387038800255842,0.00011256169501424732,0.0005509673883035077,0.999,beats,0.8467597000639608,0.2800107938401418,1.3772100253340742,0.999,beats,0.0003406152895037112,0.00011370564384022308,0.0005541336437340218,beats,0.8534928648531128,0.2898507502418324,1.3855665383541327,beats,1000,1000,1000,1000
s_learner,expected_random,0.44,0.44,0.00028745952142478215,6.70653150055418e-05,0.0004942152541118832,0.996,beats,0.6533170941472319,0.15483501594120497,1.1255847275374198,0.996,beats,0.00029332239723822663,7.406951836319625e-05,0.0005027980491430817,beats,0.670544426681722,0.17766409251388302,1.1405516933540334,beats,1000,1000,1000,1000
