policy,targeting_fraction,actual_targeting_fraction,targeted_count,cumulative_incremental_rate,cumulative_incremental_per_1000_eligible
response,0.0,0.0,0,0.0,0.0
response,0.01,0.01,4000,0.0004430108486624584,0.44301084866245843
response,0.02,0.02,8000,0.0006109975252921048,0.6109975252921048
response,0.03,0.03,12000,0.0006631711745793067,0.6631711745793066
response,0.04,0.04,16000,0.0007563798007877833,0.7563798007877832
response,0.05,0.05,20000,0.0008289955280161965,0.8289955280161966
response,0.06,0.06,24000,0.0008888381333219042,0.8888381333219042
response,0.07,0.07,28000,0.000872268238649661,0.872268238649661
response,0.08,0.08,32000,0.0009321108439553686,0.9321108439553686
response,0.09,0.09,36000,0.0009517734023779045,0.9517734023779045
response,0.1,0.1,40000,0.0009743778035118779,0.974377803511878
response,0.11,0.11,44000,0.0009568021577626797,0.9568021577626797
response,0.12,0.12,48000,0.0009813426505311358,0.9813426505311358
response,0.13,0.13,52000,0.0009911739297424036,0.9911739297424037
response,0.14,0.14,56000,0.0009931854318963138,0.9931854318963138
response,0.15,0.15,60000,0.0010030167111075817,1.0030167111075816
response,0.16,0.16,64000,0.0009863714059159111,0.9863714059159111
response,0.17,0.17,68000,0.0009893132486273487,0.9893132486273487
response,0.18,0.18,72000,0.000995196934050224,0.9951969340502239
response,0.19,0.19,76000,0.0010020863705500543,1.0020863705500542
response,0.2,0.2,80000,0.0010050282132614918,1.0050282132614918
response,0.21,0.21,84000,0.0010109118986843671,1.010911898684367
response,0.22,0.22,88000,0.0010226792695301177,1.0226792695301177
response,0.23,0.23,92000,0.001028562954952993,1.028562954952993
response,0.24,0.24,96000,0.0010266268633185103,1.0266268633185103
response,0.25,0.25,100000,0.0010354523914528231,1.035452391452823
response,0.26,0.26,104000,0.0010335162998183407,1.0335162998183407
response,0.27,0.27,108000,0.001039399985241216,1.039399985241216
response,0.28,0.28,112000,0.0010227546800495452,1.022754680049545
response,0.29,0.2899975,115999,0.0010256965227609827,1.0256965227609827
response,0.3,0.3,120000,0.0010286383654724205,1.0286383654724205
response,0.31,0.31,124000,0.0010374638936067333,1.0374638936067333
response,0.32,0.32,128000,0.0010433475790296086,1.0433475790296085
response,0.33,0.33,132000,0.0010521731071639214,1.0521731071639213
response,0.34,0.34,136000,0.0010551149498753591,1.0551149498753591
response,0.35000000000000003,0.35,140000,0.0010668823207211097,1.0668823207211098
response,0.36,0.36,144000,0.0010727660061439848,1.0727660061439848
response,0.37,0.37,148000,0.0010561207009523142,1.0561207009523141
response,0.38,0.38,152000,0.001042417238472081,1.042417238472081
response,0.39,0.39,156000,0.0010483009238949563,1.0483009238949563
response,0.4,0.4,160000,0.001051242766606394,1.051242766606394
response,0.41000000000000003,0.41,164000,0.0010571264520292693,1.0571264520292694
response,0.42,0.42,168000,0.0010630101374521446,1.0630101374521446
response,0.43,0.43,172000,0.0010493066749719113,1.0493066749719113
response,0.44,0.44,176000,0.0010493066749719113,1.0493066749719113
response,0.45,0.45,180000,0.0010493066749719113,1.0493066749719113
response,0.46,0.46,184000,0.0010493066749719113,1.0493066749719113
