treatment_score_decile,rows,score_min,score_mean,score_max,treated,treatment_share,treatment_share_ci_low,treatment_share_ci_high,overall_test_treatment_share,share_minus_overall
1,40000,0.8647684192939629,0.869839596869846,0.9112624396735031,34388,0.8597,0.8562619891470773,0.8630689288504243,0.8498075,0.00989249999999997
2,40000,0.8628641378921053,0.8636851212187902,0.8647684192939629,33942,0.84855,0.8450034313276936,0.8520296280774472,0.8498075,-0.0012575000000000225
3,40000,0.8612944022280824,0.8620011582657542,0.8628640673621419,34057,0.851425,0.8479057650195757,0.8548767422288869,0.8498075,0.0016174999999999384
4,40000,0.85983559313295,0.8606167308468914,0.8612944022280824,33889,0.847225,0.843665982621492,0.850717331255857,0.8498075,-0.002582500000000043
5,40000,0.8579456482179892,0.8590729465276256,0.8598355212984026,33980,0.8495,0.8459624142078057,0.8529704627455632,0.8498075,-0.0003075000000000161
6,40000,0.8550887778566395,0.8566404492214608,0.8579453867025962,33913,0.847825,0.8442716082721989,0.8513115903724521,0.8498075,-0.001982499999999998
7,40000,0.8507975509858164,0.8529622004564164,0.8550887483137237,33960,0.849,0.8454576803724275,0.8524752926081897,0.8498075,-0.000807500000000072
8,40000,0.8471687795949876,0.8489544846153229,0.8507975055881436,34045,0.851125,0.8476028919650584,0.8545796728997532,0.8498075,0.0013174999999999715
9,40000,0.8434385554364646,0.8454666713758381,0.8471687795949876,33791,0.844775,0.8411932067651469,0.8482905776457195,0.8498075,-0.005032499999999995
10,40000,0.6446859469036766,0.8365152647433268,0.8434384295037693,33958,0.84895,0.845407207723479,0.852425774859863,0.8498075,-0.0008575000000000665
